level,iteration,eval_metric,paramkey,cv_score,best_nrounds
01,0095,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.01---max_depth=5---subsample=0.4---colsample_bytree=0.9---lambda=1---alpha=1---gamma=2---max_delta_step=0---scale_pos_weight=1---nthread=4,0.1552082,873
01,0096,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.01---max_depth=7---subsample=0.6---colsample_bytree=0.7---lambda=0---alpha=1---gamma=4---max_delta_step=1---scale_pos_weight=10---nthread=4,0.3140226,2000
01,0097,auc,objective=binary:logistic---eval_metric=auc---eta=0.05---max_depth=7---subsample=0.4---colsample_bytree=0.5---lambda=1---alpha=1---gamma=0---max_delta_step=0---scale_pos_weight=20---nthread=4,0.5903984,54
01,0098,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.05---max_depth=3---subsample=0.4---colsample_bytree=0.7---lambda=1---alpha=0---gamma=2---max_delta_step=0---scale_pos_weight=20---nthread=4,0.541976,889
01,0099,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.01---max_depth=7---subsample=0.9---colsample_bytree=0.5---lambda=1---alpha=0---gamma=0---max_delta_step=1---scale_pos_weight=20---nthread=4,0.5018416,2000
01,0100,auc,objective=binary:logistic---eval_metric=auc---eta=0.01---max_depth=3---subsample=0.9---colsample_bytree=0.9---lambda=1---alpha=1---gamma=0---max_delta_step=0---scale_pos_weight=1---nthread=4,0.6224954,1999
01,0101,auc,objective=binary:logistic---eval_metric=auc---eta=0.01---max_depth=7---subsample=0.6---colsample_bytree=0.9---lambda=1---alpha=0---gamma=2---max_delta_step=1---scale_pos_weight=1---nthread=4,0.625841,806
01,0102,auc,objective=binary:logistic---eval_metric=auc---eta=0.05---max_depth=5---subsample=0.9---colsample_bytree=0.5---lambda=0---alpha=1---gamma=4---max_delta_step=0---scale_pos_weight=20---nthread=4,0.6005174,128
01,0103,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.05---max_depth=7---subsample=0.4---colsample_bytree=0.9---lambda=1---alpha=1---gamma=4---max_delta_step=1---scale_pos_weight=20---nthread=4,0.383914,2000
01,0104,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.01---max_depth=7---subsample=0.9---colsample_bytree=0.5---lambda=1---alpha=0---gamma=4---max_delta_step=0---scale_pos_weight=10---nthread=4,0.3310146,2000
01,0105,logloss,objective=binary:logistic---eval_metric=logloss---eta=0.1---max_depth=5---subsample=0.9---colsample_bytree=0.7---lambda=1---alpha=1---gamma=4---max_delta_step=1---scale_pos_weight=20---nthread=4,0.5104772,1997
